,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
77,SRNNG_in_order_beam,40000,3.0,-3.7271962166120815e-08,0,-313.18637299750014,0.054956568044643855,-0.15069124635461137,0.4027645109750874,-0.10989777928290395,"RRRRRR, RRRLRR, RRLLRR"
78,SRNNG_in_order_beam,60000,3.0,-1.1104118413547636e-07,0,-314.1179595373454,0.13201209403342318,-0.12327381213066753,0.4144474404880934,-0.1524984151413894,"RRRRRR, LLRLLL, RRRLRR"
79,SRNNG_in_order_beam,80000,3.0,-5.29872056362634e-08,0,-313.348749106094,0.07447470914876063,-0.13600521315319078,0.43544780389422333,-0.16002818239596073,"RRLRRR, RRRRRR, RRRLRR"
80,RNNG_top_down_beam,0,log,0.013887735594220324,0,-313.0124197107599,-0.017513631754099944,0.23637985635259334,0.22345562128598778,0.24604508676111314,"RLRLLL, RLLLLL, RLLRLL"
81,RNNG_top_down_beam,20000,log,0.030885639906561194,0,-313.0978268604625,-0.04049586311434633,0.2833983962161815,0.1967605189426282,0.2196071422526923,"RLRLLL, RLLLLL, RLLRLL"
82,RNNG_top_down_beam,40000,log,0.017063277328229765,0,-313.02311877214953,-0.02176774877303496,0.2944345343433457,0.2055422602786952,0.25107727746534897,"RLLLLL, RLRLLL, RLLRLL"
83,RNNG_top_down_beam,60000,log,0.009923148443763172,0,-313.002271829563,-0.012173853984980734,0.26247354921315325,0.21200562422035382,0.2674326703789614,"RLRLLL, RLRRLL, RLLLLL"
84,RNNG_top_down_beam,80000,log,0.026154642593729793,0,-313.0586245266793,-0.03206548987071413,0.2443006302028469,0.19207635967167486,0.28091648650771484,"RLLLLL, RLRLLL, RLLRLL"
85,RNNG_in_order_beam,0,log,-0.8443076679577651,0,-314.8433533455758,0.16882260160580675,0.1800017337985197,0.3228451407059102,-0.06111612318456949,"LRRRLL, RRRRRR, RRRLRR"
86,RNNG_in_order_beam,20000,log,-0.2754096089105318,0,-313.9123358614623,0.11943717002685186,0.20570494725833346,0.45016882289858645,-0.32928840137063026,"RRRRRR, RRRLRR, RRLRRR"
