,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
350,4gram_actions_lc-as,0,2.0,-0.011328133868223265,0,-316.3631666738132,0.22649407608782426,0.5072660618100324,0.21042206102800964,0.21358714948252908,"RLLRLL, RLRRLL, LLLRLL"
351,4gram_actions_lc-as,20000,2.0,-0.011522293000999245,0,-316.2317202553406,0.2221465181386469,0.5163817762692725,0.20687586965257382,0.21563031209522857,"RLLRLL, RLRRLL, LLLRLL"
352,4gram_actions_lc-as,40000,2.0,-0.010955629482189623,0,-316.09439526752095,0.21750188748280694,0.5033651534200662,0.20383548902924653,0.2115815830228797,"RLLRLL, RLRRLL, LLLRLL"
353,4gram_actions_lc-as,60000,2.0,-0.010642811062777523,0,-315.90806660547906,0.2110198410465563,0.4995010068942624,0.20221708327598034,0.2309830747724509,"RLLRLL, RLRRLL, LLLRLL"
354,4gram_actions_lc-as,80000,2.0,-0.011235777262182316,0,-316.1047007420256,0.21785422699391577,0.5038014155100651,0.20173364674986244,0.2273042172073918,"RLLRLL, RLRRLL, LLLRLL"
355,5gram_actions_lc-as,0,2.0,-0.010994433087820294,0,-315.6182527327945,0.20048158167004315,0.4736277431350669,0.21478554259117474,0.2766059729550299,"LLLRLL, RLLRLL, RLRRLL"
356,5gram_actions_lc-as,20000,2.0,-0.010766055757720785,0,-315.42468357028207,0.19309457792936024,0.492040380217142,0.20448160171357124,0.2710262738481365,"RLLRLL, RLRRLL, LLLRLL"
357,5gram_actions_lc-as,40000,2.0,-0.009991960716247004,0,-315.11573025970915,0.18062911443038676,0.4649209217086536,0.20156763020431506,0.27684311257580896,"RLLRLL, RLRRLL, LLLRLL"
358,5gram_actions_lc-as,60000,2.0,-0.010091439346395177,0,-315.1023693185293,0.1800691604148677,0.4658828719164577,0.19896466364154486,0.3022821682723107,"LLLRLL, RLRRLL, RLLRLL"
359,5gram_actions_lc-as,80000,2.0,-0.010058354874482119,0,-315.1163308184672,0.18065424021064785,0.4595307956842779,0.19988058701281236,0.297921302806183,"RLLRLL, RLRRLL, LLLRLL"
360,RNNG_top_down,0,2.0,0.0988279327652426,0,-318.230919494455,-0.28033194796884464,-0.01061433962607646,-0.18309392991216866,0.10803152213470965,"RLLRLL, RRRRLL, RRRLLL"
361,RNNG_top_down,20000,2.0,0.07623533513474837,0,-315.72636961579747,-0.2044820853611131,0.2966531187052978,-0.10050060858373065,0.05081594200875093,"RRLRLL, RLLRLL, RLLLLL"
362,RNNG_top_down,40000,2.0,0.0734141649081798,0,-315.2665721391555,-0.18682665267334947,0.06194047131295917,-0.11713900100430383,0.14676122327148888,"RLLRLL, RLRRLL, RRRRLL"
363,RNNG_top_down,60000,2.0,0.07072033889431728,0,-315.191096684363,-0.18375359984676246,-0.09109402117790898,-0.05175859967826895,0.32850656389705224,"RLRRLL, RLLRLL, RRRRLL"
364,RNNG_top_down,80000,2.0,0.09579691436667895,0,-317.954054202021,-0.2731140991610653,0.04267454071665973,-0.1631256942655675,0.08990370694671396,"RLLRLL, RRRLLL, RLRRLL"
365,RNNG_top_down_beam,0,2.0,-3.2997598377383756e-06,0,-313.7856590082357,0.11096042136412589,-0.3888596202491924,-0.0969692503881634,-0.2658898090951192,"RRRRLL, RRRLLL, RRLLLL"
366,RNNG_top_down_beam,20000,2.0,-5.182747518991443e-06,0,-314.0560685702386,0.1283609750854703,-0.2544251052811719,-0.0559388231816695,-0.3493128131567317,"RRRRLL, RRLRLL, RRRLLL"
367,RNNG_top_down_beam,40000,2.0,-5.4034926857675445e-06,0,-314.4536857087963,0.15022649829167872,-0.2656614240795204,0.0055010075336588,-0.23522406482370237,"RRRRLL, RRRLLL, RRLRLL"
368,RNNG_top_down_beam,60000,2.0,-3.757293180696864e-06,0,-313.4852152467532,0.08754815804293453,-0.47275643286160657,-0.06264007344414838,-0.26602155563230634,"RRRRLL, RRLLLL, RRRLLL"
369,RNNG_top_down_beam,80000,2.0,-2.7242199103489874e-06,0,-313.18833810454197,0.05523437302471221,-0.17855627985576836,-0.1451216216522623,-0.3785135743764728,"RRRLLL, RRRRLL, RRLRLL"
370,RNNG_in_order,0,2.0,0.05987153911710291,0,-315.339563100998,-0.18974785069410982,0.21431874371904325,-0.18127006484417438,-0.23081579397725926,"RRRRRL, RRLLRL, RRLRRL"
371,RNNG_in_order,20000,2.0,0.03638380833760944,0,-313.7938343819561,-0.11152746074712873,0.3711230582050702,-0.14983743342102707,-0.21819608855804568,"RRRLRL, RRRRRL, RRRRLL"
372,RNNG_in_order,40000,2.0,0.03461437940873885,0,-313.9784252314527,-0.1236229252658819,0.33042320105938344,-0.14251753002244294,-0.22310399017431037,"RRRRRL, RRRRLL, RRLLRL"
373,RNNG_in_order,60000,2.0,0.05978774835284255,0,-315.1519571225819,-0.1821381302563959,0.30475446036636933,-0.11115329129703314,-0.17958521445725595,"RRRRLL, RRLRLL, RRRLRL"
374,RNNG_in_order,80000,2.0,0.0817067761082404,0,-317.9993459217059,-0.27430999907772013,0.033542691001580485,-0.1721474172202773,-0.20741118215999155,"RRRLRL, RRRRRL, RRRRLL"
375,RNNG_in_order_beam,0,2.0,2.7342255932219075e-05,0,-317.025413121106,-0.24711480027900062,0.24437608084145823,-0.1250823788695744,-0.3184760366901764,"RLRLRL, RLRRLL, RRRRRL"
376,RNNG_in_order_beam,20000,2.0,2.0702149990519434e-05,0,-315.24965736990646,-0.1861426767693794,0.289567746047265,-0.23992082085764088,-0.12250391905002359,"RRRLRL, RRRRRL, RRRRLL"
